family,scheme,snr_db,frames,negative_trials,positive_trials,fp,fn,fer,noiseless_fp,mean_iterations,balanced_error,noiseless_balanced_error,fp_lo95,fp_hi95,fp_events,fn_lo95,fn_hi95,fn_events,fer_lo95,fer_hi95,fer_events,balanced_error_lo95,balanced_error_hi95,balanced_error_events
exact,bfc,2.5,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.2304,0.002371111111111111,0.002371111111111111,0.004655166666666667,0.004823342592592593,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002331287037037037,0.002413337962962963,12804
exact,bfc,2.6,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.1695,0.002371111111111111,0.002371111111111111,0.00466037037037037,0.0048274166666666665,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023316666666666668,0.0024101851851851853,12804
exact,bfc,2.7,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.1272,0.002371111111111111,0.002371111111111111,0.004658879629629629,0.004822240740740741,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023283333333333333,0.002413148148148148,12804
exact,bfc,2.8,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.0806,0.002371111111111111,0.002371111111111111,0.004655185185185185,0.004823703703703703,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002330925925925926,0.0024133333333333333,12804
exact,bfc,2.9,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.0398,0.002371111111111111,0.002371111111111111,0.004662222222222222,0.004828898148148148,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002331111111111111,0.002411300925925926,12804
exact,bfc,3.5,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,2.5381,0.002371111111111111,0.002371111111111111,0.004662212962962963,0.004828157407407408,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002328888888888889,0.0024142685185185183,12804
exact,conventional,-5.5,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-4.9,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-4.8,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
exact,conventional,-4.7,10000,2700000,2700000,0.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.00029952835977664627,0,1.0,1.0,2700000,1.0,1.0,10000,0.5,0.5,2700000
