family,epsilon,n_t,r,T,K,m,S,rate,bound,aligned
rank,0.01,79,40,549755813888,261788483,10471539320,21,0.42133866434702616,0.009999999969295459,False
rank,0.01,80,40,1099511627776,523576966,20943078640,21,0.42857193104268837,0.009999999988394848,True
rank,0.01,80,40,1099511627776,523576966,20943078640,21,0.42857193104268837,0.009999999988394848,False
exact-threshold,0.01,12,6,64,1,6,15,0.215413541726763,0.0,True
exact-threshold,0.01,12,6,64,1,6,15,0.215413541726763,0.0,False
exact-threshold,0.01,13,7,64,1,7,21,0.2159503786198157,0.0,True
exact-threshold,0.01,13,7,64,1,7,21,0.2159503786198157,0.0,False
exact-threshold,0.01,14,7,128,1,7,21,0.20052535157554316,0.0,True
exact-threshold,0.01,14,7,128,1,7,21,0.20052535157554316,0.0,False
exact-threshold,0.01,15,8,128,1,8,28,0.2,0.0,True
exact-threshold,0.01,15,8,128,1,8,28,0.2,0.0,False
exact-threshold,0.01,16,8,256,1,8,28,0.1875,0.0,True
exact-threshold,0.01,16,8,256,1,8,28,0.1875,0.0,False
exact-threshold,0.01,17,9,256,1,9,36,0.18646617655543013,0.0,True
exact-threshold,0.01,17,9,256,1,9,36,0.18646617655543013,0.0,False
exact-threshold,0.01,18,9,512,1,9,36,0.1761069445245729,0.0,True
exact-threshold,0.01,18,9,512,1,9,36,0.1761069445245729,0.0,False
exact-threshold,0.01,19,10,512,1,10,45,0.1748383207835454,0.0,True
exact-threshold,0.01,19,10,512,1,10,45,0.1748383207835454,0.0,False
exact-threshold,0.01,20,10,1024,1,10,45,0.1660964047443681,0.0,True
exact-threshold,0.01,20,10,1024,1,10,45,0.1660964047443681,0.0,False
exact-threshold,0.01,21,11,1024,1,11,55,0.16473483898272845,0.0,True
exact-threshold,0.01,21,11,1024,1,11,55,0.16473483898272845,0.0,False
exact-threshold,0.01,22,11,2048,1,11,55,0.1572468917562408,0.0,True
exact-threshold,0.01,22,11,2048,1,11,55,0.1572468917562408,0.0,False
exact-threshold,0.01,23,12,2048,1,12,66,0.1558679348139633,0.0,True
exact-threshold,0.01,23,12,2048,1,12,66,0.1558679348139633,0.0,False
exact-threshold,0.01,24,12,4096,1,12,66,0.14937343753004817,0.0,True
exact-threshold,0.01,24,12,4096,1,12,66,0.14937343753004817,0.0,False
exact-threshold,0.01,25,13,4096,1,13,78,0.1480175887256437,0.0,True
exact-threshold,0.01,25,13,4096,1,13,78,0.1480175887256437,0.0,False
exact-threshold,0.01,26,13,8192,1,13,78,0.14232460454388815,0.0,True
exact-threshold,0.01,26,13,8192,1,13,78,0.14232460454388815,0.0,False
exact-threshold,0.01,27,14,8192,1,14,91,0.14101314526139275,0.0,True
exact-threshold,0.01,27,14,8192,1,14,91,0.14101314526139275,0.0,False
exact-threshold,0.01,28,14,16384,1,14,91,0.1359769615020573,0.0,True
exact-threshold,0.01,28,14,16384,2,18,153,0.14892589290865402,0.00933837890625,False
exact-threshold,0.01,29,15,16384,1,15,105,0.134720365365811,0.0,True
exact-threshold,0.01,29,15,16384,2,18,153,0.14379051729111422,0.00933837890625,False
exact-threshold,0.01,30,15,32768,1,15,105,0.13022968652028397,0.0,True
exact-threshold,0.01,30,15,32768,2,26,325,0.15668132393803638,0.009918212890625,False
exact-threshold,0.01,31,16,32768,1,16,120,0.12903225806451613,0.0,True
exact-threshold,0.01,31,16,32768,2,26,325,0.1516270876819707,0.009918212890625,False
exact-threshold,0.01,32,16,65536,2,32,496,0.15625,0.007568359375,True
exact-threshold,0.01,32,16,65536,2,32,496,0.15625,0.007568359375,False
exact-threshold,0.01,33,17,65536,2,34,561,0.15416554064394966,0.0085601806640625,True
exact-threshold,0.01,33,17,65536,2,34,561,0.15416554064394966,0.0085601806640625,False
exact-threshold,0.01,34,17,131072,2,34,561,0.14963126003677468,0.00428009033203125,True
exact-threshold,0.01,34,17,131072,3,36,630,0.15205661768947976,0.009613037109375,False
exact-threshold,0.01,35,18,131072,2,36,630,0.14771214289835177,0.0048065185546875,True
exact-threshold,0.01,35,18,131072,2,36,630,0.14771214289835177,0.0048065185546875,False
exact-threshold,0.01,36,18,262144,2,36,630,0.14360902781784202,0.00240325927734375,True
exact-threshold,0.01,36,18,262144,3,51,1275,0.1575673706103193,0.00972747802734375,False
exact-threshold,0.01,37,19,262144,2,38,703,0.14183587874171852,0.002681732177734375,True
exact-threshold,0.01,37,19,262144,3,51,1275,0.15330879302625663,0.00972747802734375,False
exact-threshold,0.01,38,19,524288,3,57,1596,0.15349710563591423,0.0060882568359375,True
exact-threshold,0.01,38,19,524288,4,59,1711,0.15480639603583793,0.009790420532226562,False
exact-threshold,0.01,39,20,524288,3,60,1770,0.15145873322073125,0.00675201416015625,True
exact-threshold,0.01,39,20,524288,3,60,1770,0.15145873322073125,0.00675201416015625,False
exact-threshold,0.01,40,20,1048576,4,80,3160,0.15804820237218406,0.00904083251953125,True
